company,ticker,status,annualReportUrl,irPage,revenue_msek,ebit_msek,employees,ceo,missingFields,suggestedOverrideJson,latestNote
Sandvik AB (publ),SAND.ST,partial,https://www.home.sandvik/siteassets/investors/reports--presentations/acqusition-presentations/presentation-deswik.pdf,https://www.home.sandvik/en/investors,,,,Matt Chilcott,revenue_msek|ebit_msek|employees,"{""source"":""manual_review"",""reviewedAt"":""2026-04-13"",""revenue_msek"":null,""ebit_msek"":null,""employees"":null}",No Scope 1/2 CO2 data found in available reports
Skandinaviska Enskilda Banken AB (publ),SEB-A.ST,partial,https://webapp.sebgroup.com/mb/mblib.nsf/alldocsbyunid/0C76B7571DFB23F5C1258C4900320544/$FILE/SEB_Annual_Report_2024_ENG.pdf,,213,,8904,Johan Torgeby,ebit_msek,"{""source"":""manual_review"",""reviewedAt"":""2026-04-13"",""ebit_msek"":null}",Annual report includes sustainability content
Investor AB (publ),INVE-A.ST,partial,https://www.investorab.com/media/mjzjnq4d/investor_ar25_eng.pdf,https://www.investorab.com/investors,,,,Christian Cederholm,revenue_msek|ebit_msek|employees,"{""source"":""manual_review"",""reviewedAt"":""2026-04-13"",""revenue_msek"":null,""ebit_msek"":null,""employees"":null}",Annual report includes sustainability content
Hexagon AB (publ),HEXA-B.ST,timeout,,,,,,,revenue_msek|ebit_msek|employees|ceo,"{""source"":""manual_review"",""reviewedAt"":""2026-04-13"",""revenue_msek"":null,""ebit_msek"":null,""employees"":null,""ceo"":null}",Pipeline timed out after 210000ms
AAK AB (publ.),AAK.ST,partial,https://storage.mfn.se/ad831c6a-a84b-479c-9522-58f8e7534ac5/aak-annual-report-2024.pdf,https://www.aak.com/investors,46028,,422422,Johan Westman,ebit_msek,"{""source"":""manual_review"",""reviewedAt"":""2026-04-13"",""ebit_msek"":null}",Annual report includes sustainability content
Addtech AB (publ.),ADDT-B.ST,partial,https://www.addtech.com/fileadmin/user_upload/Annual-Report-1213.pdf,https://www.addtech.com/investors,5200,,1612,Johan Sjö,ebit_msek,"{""source"":""manual_review"",""reviewedAt"":""2026-04-13"",""ebit_msek"":null}",No Scope 1/2 CO2 data found in available reports
AddLife AB (publ),ALIF-B.ST,partial,https://www.add.life/media/2pbl1ybt/addlife-annual-report-2025.pdf,https://www.add.life/en/investors,10286,,2311,Fredrik Dalborg,ebit_msek,"{""source"":""manual_review"",""reviewedAt"":""2026-04-13"",""ebit_msek"":null}",Annual report includes sustainability content
AQ Group AB (publ),AQ.ST,partial,https://www.aqgroup.com/download/5107-9AFE119B679A9A8C30E5C41E12DBE994/Corporate-Governance-Report-2025.pdf,https://www.aqgroup.com/investors,,,,Christina Hegg - Finan,revenue_msek|ebit_msek|employees,"{""source"":""manual_review"",""reviewedAt"":""2026-04-13"",""revenue_msek"":null,""ebit_msek"":null,""employees"":null}",No Scope 1/2 CO2 data found in available reports
ASSA ABLOY AB (publ),ASSA-B.ST,partial,https://www.assaabloy.com/group/en/documents/investors/annual-reports/2025/Annual%20Report%202025.pdf,https://www.assaabloy.com/group/en/investors,152409,4275,,Nico Delvaux,employees,"{""source"":""manual_review"",""reviewedAt"":""2026-04-13"",""employees"":null}",Annual report includes sustainability content
Avanza Bank Holding AB (publ),AZA.ST,partial,https://investors.avanza.se/files/mfn/110491d0-0352-424a-9376-575b1b40c556/avanza-bank-holding-ab-publ-arsredovisning-och-hallbarhetsrapport-2025-pdf-169-navigering.pdf,https://investors.avanza.se,1580,,828,Gustaf Unger,ebit_msek,"{""source"":""manual_review"",""reviewedAt"":""2026-04-13"",""ebit_msek"":null}",Annual report includes sustainability content
