Company	Ticker	Missing fields	Scraped data	Data source	Fiscal year	Confidence	Annual report URL	Explanation
Sandvik AB (publ)	SAND.ST	revenue_msek, ebit_msek, employees	"revenue_msek=null | ebit_msek=null | employees=null | ceo=""Matt Chilcott"""	pdf		50	https://www.home.sandvik/siteassets/investors/reports--presentations/acqusition-presentations/presentation-deswik.pdf	EBIT not found for Sandvik AB (publ) | Employee count not found for Sandvik AB (publ) | Fiscal year not found in PDF text or report URL | Revenue not found for Sandvik AB (publ) | Fiscal year not extracted | Revenue not extracted | EBIT not extracted | Employee count not extracted | Annual report includes sustainability content | No Scope 1/2 CO2 data found in available reports
Skandinaviska Enskilda Banken AB (publ)	SEB-A.ST	ebit_msek	"revenue_msek=213 | ebit_msek=null | employees=8904 | ceo=""Johan Torgeby"""	pdf	2024	79	https://webapp.sebgroup.com/mb/mblib.nsf/alldocsbyunid/0C76B7571DFB23F5C1258C4900320544/$FILE/SEB_Annual_Report_2024_ENG.pdf	"Bank — 'operating profit' mapped to ebit_msek | SCHEMA_MAP[revenue_msek] basis=mapped native=""net interest income"" — Bank: assignment revenue_msek derived from native line ""net interest income"" (operating-income family, not industrial net sales) | SCHEMA_MAP[ebit_msek] basis=mapped native=""operating profit"" — Bank: operating result mapped to ebit_msek from ""operating profit"" | Tier 0 override accepted | Bank revenue-equivalent 213 MSEK below 10,000 — verify units (kept; not an industrial Large Cap gate) | Bank: operating result (37388) exceeds revenue-equivalent (213) — possible semantic mismatch; discarding EBIT for assignment safety | Secondary merge: null field(s) filled from allabolag.se (https://www.allabolag.se/5020329081) | Bank revenue-equivalent 213 MSEK below 10,000 — verify units (kept; not an industrial Large Cap gate) | EBIT not extracted | Annual report includes sustainability content"
Investor AB (publ)	INVE-A.ST	revenue_msek, ebit_msek, employees	"revenue_msek=null | ebit_msek=null | employees=null | ceo=""Christian Cederholm"""	playwright+pdf	2025	50	https://www.investorab.com/media/mjzjnq4d/investor_ar25_eng.pdf	"ENTITY_PROFILE: searchAnchor=""Investor AB (publ)"" ambiguity=low reportingHint=investment_company org=556013-8449 | REPORT_CORPUS: 0 publication hub(s) quick-probed (single-page scan only) on https://www.investorab.com | Entity verified (legal:full:Investor AB (publ)) | Investment company — standard revenue not applicable | EBIT not found for Investor AB (publ) | Employee count 8530 discarded — likely portfolio/holdings headcount for investment company | Revenue not extracted | EBIT not extracted | Employee count not extracted | Annual report includes sustainability content"
AAK AB (publ.)	AAK.ST	ebit_msek	"revenue_msek=46028 | ebit_msek=null | employees=422422 | ceo=""Johan Westman"""	pdf	2024	85	https://storage.mfn.se/ad831c6a-a84b-479c-9522-58f8e7534ac5/aak-annual-report-2024.pdf	"ENTITY_PROFILE: searchAnchor=""AAK AB (publ.)"" ambiguity=low reportingHint=unspecified org=none | REPORT_CORPUS: 1 publication hub(s) quick-probed (single-page scan only) on https://www.aak.com | Entity verified (derived:short-name:AAK) | SCHEMA_MAP[revenue_msek] basis=exact native=""net sales"" — Industrial: revenue aligned with net sales / nettoomsättning family | SCHEMA_MAP[ebit_msek] basis=exact native=""operating income"" — Industrial: operating profit / rörelseresultat family | EBIT (46253) exceeds revenue (46028) — likely extraction error, discarding EBIT | Annual report includes sustainability content"
Addtech AB (publ.)	ADDT-B.ST	ebit_msek	"revenue_msek=5200 | ebit_msek=null | employees=1612 | ceo=""Johan Sjö"""	pdf		85	https://www.addtech.com/fileadmin/user_upload/Annual-Report-1213.pdf	"REPORT_CORPUS: 1 publication hub(s) quick-probed (single-page scan only) on https://www.addtech.com | Entity verified (entity:brand-token:addtech) | EBIT not found for Addtech AB (publ.) | Fiscal year not found in PDF text or report URL | SCHEMA_MAP[revenue_msek] basis=mapped native=""sales"" — Industrial: revenue from label outside primary list — treated as approximate | SCHEMA_MAP[ebit_msek] basis=exact native="""" — Industrial: operating profit / rörelseresultat family | Fiscal year not extracted | EBIT not extracted | Searched annual report for sustainability data | No Scope 1/2 CO2 data found in available reports"
AddLife AB (publ)	ALIF-B.ST	ebit_msek	"revenue_msek=10286 | ebit_msek=null | employees=2311 | ceo=""Fredrik Dalborg"""	playwright+pdf	2025	85	https://www.add.life/media/2pbl1ybt/addlife-annual-report-2025.pdf	"ENTITY_PROFILE: searchAnchor=""AddLife AB (publ)"" ambiguity=low reportingHint=unspecified org=none | REPORT_CORPUS: 0 publication hub(s) quick-probed (single-page scan only) on https://www.add.life | Entity verified (legal:stripped-suffix:AddLife) | SCHEMA_MAP[revenue_msek] basis=exact native=""net sales"" — Industrial: revenue aligned with net sales / nettoomsättning family | SCHEMA_MAP[ebit_msek] basis=exact native=""operating profit"" — Industrial: operating profit / rörelseresultat family | EBIT (17299) exceeds revenue (10286) — likely extraction error, discarding EBIT | Annual report includes sustainability content"
AQ Group AB (publ)	AQ.ST	revenue_msek, ebit_msek, employees	"revenue_msek=null | ebit_msek=null | employees=null | ceo=""Christina Hegg - Finan"""	pdf	2025	50	https://www.aqgroup.com/download/5107-9AFE119B679A9A8C30E5C41E12DBE994/Corporate-Governance-Report-2025.pdf	REPORT_CORPUS: 0 publication hub(s) quick-probed (single-page scan only) on https://www.aqgroup.com | Entity verified (legal:full:AQ Group AB (publ)) | EBIT not found for AQ Group AB (publ) | Employee count not found for AQ Group AB (publ) | Revenue not found for AQ Group AB (publ) | Revenue not extracted | EBIT not extracted | Employee count not extracted | Searched annual report for sustainability data | No Scope 1/2 CO2 data found in available reports
ASSA ABLOY AB (publ)	ASSA-B.ST	employees	"revenue_msek=152409 | ebit_msek=4275 | employees=null | ceo=""Nico Delvaux"""	playwright+pdf	2025	85	https://www.assaabloy.com/group/en/documents/investors/annual-reports/2025/Annual%20Report%202025.pdf	"ENTITY_PROFILE: searchAnchor=""ASSA ABLOY AB (publ)"" ambiguity=low reportingHint=unspecified org=none | REPORT_CORPUS: 0 publication hub(s) quick-probed (single-page scan only) on https://www.assaabloy.com | Entity verified (legal:full:ASSA ABLOY AB (publ)) | Employee count 2025 discarded — likely fiscal-year column misread | Revenue unit guard: 152409000 → 152409 MSEK (likely tkr/KSEK misread as MSEK) | EBIT unit guard: 4275000 → 4275 MSEK (likely tkr/KSEK misread as MSEK) | SCHEMA_MAP[revenue_msek] basis=mapped native=""sales"" — Industrial: revenue from label outside primary list — treated as approximate | SCHEMA_MAP[ebit_msek] basis=exact native=""operating income"" — Industrial: operating profit / rörelseresultat family | Employee count not extracted | Annual report includes sustainability content"
Avanza Bank Holding AB (publ)	AZA.ST	ebit_msek	"revenue_msek=1580 | ebit_msek=null | employees=828 | ceo=""Gustaf Unger"""	pdf	2025	82	https://investors.avanza.se/files/mfn/110491d0-0352-424a-9376-575b1b40c556/avanza-bank-holding-ab-publ-arsredovisning-och-hallbarhetsrapport-2025-pdf-169-navigering.pdf	"ENTITY_PROFILE: searchAnchor=""Avanza Bank Holding AB (publ)"" ambiguity=high reportingHint=bank org=none | REPORT_CORPUS: 0 publication hub(s) quick-probed (single-page scan only) on https://investors.avanza.se | Entity verified (legal:full:Avanza Bank Holding AB (publ)) | Bank — 'räntenetto' mapped to revenue_msek | Bank — 'rörelseresultat' mapped to ebit_msek | SCHEMA_MAP[revenue_msek] basis=mapped native=""räntenetto"" — Bank: assignment revenue_msek derived from native line ""räntenetto"" (operating-income family, not industrial net sales) | SCHEMA_MAP[ebit_msek] basis=mapped native=""rörelseresultat"" — Bank: operating result mapped to ebit_msek from ""rörelseresultat"" | Bank revenue-equivalent 1580 MSEK below 10,000 — verify units (kept; not an industrial Large Cap gate) | Bank: operating result (2621) exceeds revenue-equivalent (1580) — possible semantic mismatch; discarding EBIT for assignment safety | Annual report includes sustainability content"
AstraZeneca PLC	AZN.ST	ebit_msek	"revenue_msek=2030 | ebit_msek=null | employees=7000 | ceo=""Changing World"""	pdf	2025	85	https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_AR_2025.pdf	"ENTITY_PROFILE: searchAnchor=""AstraZeneca PLC"" ambiguity=low reportingHint=unspecified org=none | REPORT_CORPUS: 8 publication hub(s) quick-probed (single-page scan only) on https://www.astrazeneca.com | Entity verified (legal:full:AstraZeneca PLC) | SCHEMA_MAP[revenue_msek] basis=exact native=""total revenue"" — Industrial: revenue aligned with net sales / nettoomsättning family | SCHEMA_MAP[ebit_msek] basis=exact native=""operating profit"" — Industrial: operating profit / rörelseresultat family | EBIT (373658) exceeds revenue (2030) — likely extraction error, discarding EBIT | Annual report includes sustainability content"
